isin,name,asset_class,ter,currency,use_of_profit,url
LU2263803533,Xtrackers MSCI World Swap UCITS ETF 1D,Actions,"0,19",USD,Distribution,https://etf.dws.com/fr-fr/LU2263803533-msci-world-swap-ucits-etf-1d/
IE00BK1PV445,Xtrackers MSCI USA UCITS ETF 1D,Actions,"0,03",USD,Distribution,https://etf.dws.com/fr-fr/IE00BK1PV445-msci-usa-ucits-etf-1d/
IE00BG04M077,Xtrackers MSCI USA UCITS ETF 2C - EUR Hedged,Actions,"0,08",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BG04M077-msci-usa-ucits-etf-2c-eur-hedged/
IE00BG04LZ52,Xtrackers MSCI USA UCITS ETF 3C - CHF Hedged,Actions,"0,08",CHF,Capitalisation,https://etf.dws.com/fr-fr/IE00BG04LZ52-msci-usa-ucits-etf-3c-chf-hedged/
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,Actions,"0,03",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BJ0KDR00-msci-usa-ucits-etf-1c/
LU0380865021,Xtrackers Euro Stoxx 50 UCITS ETF 1C,Actions,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0380865021-euro-stoxx-50-ucits-etf-1c/
LU0274211217,Xtrackers Euro Stoxx 50 UCITS ETF 1D,Actions,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU0274211217-euro-stoxx-50-ucits-etf-1d/
IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,Actions,"0,18",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BTJRMP35-msci-emerging-markets-ucits-etf-1c/
IE000GWA2J58,Xtrackers MSCI Emerging Markets UCITS ETF 1D,Actions,"0,18",USD,Distribution,https://etf.dws.com/fr-fr/IE000GWA2J58-msci-emerging-markets-ucits-etf-1d/
LU1184092051,Xtrackers MSCI Europe UCITS ETF 2C USD Hedged,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/LU1184092051-msci-europe-ucits-etf-2c-usd-hedged/
LU1242369327,Xtrackers MSCI Europe UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/LU1242369327-msci-europe-ucits-etf-1d/
LU3184977299,Xtrackers MSCI Europe UCITS ETF IC EUR Unlisted,Actions,"0,06",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3184977299-msci-europe-ucits-etf-ic-eur-unlisted/
LU0274209237,Xtrackers MSCI Europe UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274209237-msci-europe-ucits-etf-1c/
LU2009147757,Xtrackers S&P 500 Swap UCITS ETF 1D,Actions,"0,07",USD,Distribution,https://etf.dws.com/fr-fr/LU2009147757-s-p-500-swap-ucits-etf-1d/
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0490618542-s-p-500-swap-ucits-etf-1c/
LU3353962783,Xtrackers S&P 500 Swap UCITS ETF IC EUR Unlisted,Actions,"0,05",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3353962783-s-p-500-swap-ucits-etf-ic-eur-unlisted/
LU2196473016,Xtrackers S&P 500 Swap UCITS ETF 7C GBP Hedged,Actions,"0,20",GBP,Capitalisation,https://etf.dws.com/fr-fr/LU2196473016-s-p-500-swap-ucits-etf-7c-gbp-hedged/
LU2196472984,Xtrackers S&P 500 Swap UCITS ETF 5C EUR Hedged,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU2196472984-s-p-500-swap-ucits-etf-5c-eur-hedged/
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BFMNPS42-msci-usa-esg-ucits-etf-1c/
IE000UMV0L21,Xtrackers MSCI USA ESG UCITS ETF 1D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE000UMV0L21-msci-usa-esg-ucits-etf-1d/
IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C EUR Hedged,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE0000MMQ5M5-msci-usa-esg-ucits-etf-2c-eur-hedged/
LU2581375073,Xtrackers MSCI USA Swap UCITS ETF 1D,Actions,"0,07",USD,Distribution,https://etf.dws.com/fr-fr/LU2581375073-msci-usa-swap-ucits-etf-1d/
LU0274210672,Xtrackers MSCI USA Swap UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274210672-msci-usa-swap-ucits-etf-1c/
IE00BGV5VN51,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BGV5VN51-artificial-intelligence-big-data-ucits-etf-1c/
LU0274209740,Xtrackers MSCI Japan UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0274209740-msci-japan-ucits-etf-1c/
LU0659580079,Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged,Actions,"0,40",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0659580079-msci-japan-ucits-etf-4c-eur-hedged/
LU0927735406,Xtrackers MSCI Japan UCITS ETF 2D USD Hedged,Actions,"0,40",USD,Distribution,https://etf.dws.com/fr-fr/LU0927735406-msci-japan-ucits-etf-2d-usd-hedged/
LU1215827756,Xtrackers MSCI Japan UCITS ETF 7C CHF Hedged,Actions,"0,25",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU1215827756-msci-japan-ucits-etf-7c-chf-hedged/
LU2581375230,Xtrackers MSCI Japan UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/LU2581375230-msci-japan-ucits-etf-1d/
LU1349386927,Xtrackers DAX UCITS ETF 1D,Actions,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU1349386927-dax-ucits-etf-1d/
LU0274211480,Xtrackers DAX UCITS ETF 1C,Actions,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0274211480-dax-ucits-etf-1c/
IE000Z0FC0G5,Xtrackers MSCI World ex USA UCITS ETF 1D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE000Z0FC0G5-msci-world-ex-usa-ucits-etf-1d/
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0006WW1TQ4-msci-world-ex-usa-ucits-etf-1c/
IE00BZ02LR44,Xtrackers MSCI World ESG UCITS ETF 1C,Actions,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BZ02LR44-msci-world-esg-ucits-etf-1c/
IE00BMY76136,Xtrackers MSCI World ESG UCITS ETF 2C EUR Hedged,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BMY76136-msci-world-esg-ucits-etf-2c-eur-hedged/
IE000E4BATC9,Xtrackers MSCI World ESG UCITS ETF 1D,Actions,"0,20",USD,Distribution,https://etf.dws.com/fr-fr/IE000E4BATC9-msci-world-esg-ucits-etf-1d/
IE00BGHQ0G80,Xtrackers MSCI AC World Screened UCITS ETF 1C,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BGHQ0G80-msci-ac-world-screened-ucits-etf-1c/
IE000VXC51U5,Xtrackers MSCI AC World Screened UCITS ETF 2C EUR Hedged,Actions,"0,37",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000VXC51U5-msci-ac-world-screened-ucits-etf-2c-eur-hedged/
IE000WGF1X01,Xtrackers MSCI AC World Screened UCITS ETF 5C USD Hedged,Actions,"0,37",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000WGF1X01-msci-ac-world-screened-ucits-etf-5c-usd-hedged/
LU0328475792,Xtrackers Stoxx Europe 600 UCITS ETF 1C,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0328475792-stoxx-europe-600-ucits-etf-1c/
LU1772333404,Xtrackers Stoxx Europe 600 UCITS ETF 2C - EUR Hedged,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU1772333404-stoxx-europe-600-ucits-etf-2c-eur-hedged/
LU3353962940,Xtrackers Stoxx Europe 600 UCITS ETF IC EUR Unlisted,Actions,"0,07",EUR,--,https://etf.dws.com/fr-fr/LU3353962940-stoxx-europe-600-ucits-etf-ic-eur-unlisted/
LU2581375156,Xtrackers Stoxx Europe 600 UCITS ETF 1D,Actions,"0,07",EUR,Distribution,https://etf.dws.com/fr-fr/LU2581375156-stoxx-europe-600-ucits-etf-1d/
DE000A2T0VU5,Xtrackers IE Physical Gold ETC Securities,Métaux précieux,"0,11",USD,--,https://etf.dws.com/fr-fr/etc/DE000A2T0VU5-xtrackers-ie-physical-gold-etc-securities/
IE00BM67HT60,Xtrackers MSCI World Information Technology UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HT60-msci-world-information-technology-ucits-etf-1c/
IE000FO05UG4,Xtrackers S&P 500 Swap II UCITS ETF 1D,Actions,"0,05",USD,Distribution,https://etf.dws.com/fr-fr/IE000FO05UG4-s-p-500-swap-ii-ucits-etf-1d/
IE000HY30YW6,Xtrackers S&P 500 Swap II UCITS ETF 1C,Actions,"0,04",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000HY30YW6-s-p-500-swap-ii-ucits-etf-1c/
LU0478205965,Xtrackers II EUR Corporate Bond UCITS ETF 1D,Obligations,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU0478205965-eur-corporate-bond-ucits-etf-1d/
LU0478205379,Xtrackers II EUR Corporate Bond UCITS ETF 1C,Obligations,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0478205379-eur-corporate-bond-ucits-etf-1c/
IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BL25JM42-msci-world-value-ucits-etf-1c/
LU0290356871,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C,Obligations,"0,10",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0290356871-eurozone-government-bond-1-3-ucits-etf-1c/
LU0614173549,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1D,Obligations,"0,10",EUR,Distribution,https://etf.dws.com/fr-fr/LU0614173549-eurozone-government-bond-1-3-ucits-etf-1d/
IE00BM67HW99,Xtrackers S&P 500 UCITS ETF 1C EUR Hedged,Actions,"0,05",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HW99-s-p-500-ucits-etf-1c-eur-hedged/
IE00B8KMSQ34,Xtrackers S&P 500 UCITS ETF 3C CHF Hedged,Actions,"0,05",CHF,Capitalisation,https://etf.dws.com/fr-fr/IE00B8KMSQ34-s-p-500-ucits-etf-3c-chf-hedged/
IE00BM67HX07,Xtrackers S&P 500 UCITS ETF 2C GBP Hedged,Actions,"0,05",GBP,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HX07-s-p-500-ucits-etf-2c-gbp-hedged/
IE00BGJWX091,Xtrackers S&P 500 UCITS ETF 1D EUR Hedged,Actions,"0,05",EUR,Distribution,https://etf.dws.com/fr-fr/IE00BGJWX091-s-p-500-ucits-etf-1d-eur-hedged/
IE000Z9SJA06,Xtrackers S&P 500 UCITS ETF 4C,Actions,"0,03",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000Z9SJA06-s-p-500-ucits-etf-4c/
IE000UP2BIZ9,Xtrackers S&P 500 UCITS ETF 4D,Actions,"0,03",USD,Distribution,https://etf.dws.com/fr-fr/IE000UP2BIZ9-s-p-500-ucits-etf-4d/
IE00BM67HK77,Xtrackers MSCI World Health Care UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HK77-msci-world-health-care-ucits-etf-1c/
IE0004MFRED4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 1C,Actions,"0,17",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0004MFRED4-s-p-500-equal-weight-scored-screened-ucits-etf-1c/
IE000IDLWOL4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 2C - EUR Hedged,Actions,"0,22",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000IDLWOL4-s-p-500-equal-weight-scored-screened-ucits-etf-2c-eur-hedged/
LU0322253906,Xtrackers MSCI Europe Small Cap UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0322253906-msci-europe-small-cap-ucits-etf-1c/
LU0290355717,Xtrackers II Eurozone Government Bond UCITS ETF 1C,Obligations,"0,07",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0290355717-eurozone-government-bond-ucits-etf-1c/
LU0643975591,Xtrackers II Eurozone Government Bond UCITS ETF 1D,Obligations,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU0643975591-eurozone-government-bond-ucits-etf-1d/
LU3313127113,Xtrackers II Eurozone Government Bond UCITS ETF IC EUR Unlisted,Obligations,"0,06",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3313127113-eurozone-government-bond-ucits-etf-ic-eur-unlisted/
LU2009147591,Xtrackers II Eurozone Government Bond UCITS ETF 2C - USD Hedged,Obligations,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/LU2009147591-eurozone-government-bond-ucits-etf-2c-usd-hedged/
LU2523866023,Xtrackers II Eurozone Government Bond UCITS ETF 2D - GBP Hedged,Obligations,"0,20",GBP,Distribution,https://etf.dws.com/fr-fr/LU2523866023-eurozone-government-bond-ucits-etf-2d-gbp-hedged/
IE00BL25JL35,Xtrackers MSCI World Quality UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BL25JL35-msci-world-quality-ucits-etf-1c/
LU1109943388,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1C,Obligations,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU1109943388-eur-high-yield-corporate-bond-ucits-etf-1c/
LU1109942653,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1D,Obligations,"0,20",EUR,Distribution,https://etf.dws.com/fr-fr/LU1109942653-eur-high-yield-corporate-bond-ucits-etf-1d/
IE00BG36TC12,Xtrackers MSCI Japan ESG UCITS ETF 1C,Actions,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BG36TC12-msci-japan-esg-ucits-etf-1c/
LU2196470426,Xtrackers Nikkei 225 UCITS ETF 1C,Actions,"0,09",JPY,Capitalisation,https://etf.dws.com/fr-fr/LU2196470426-nikkei-225-ucits-etf-1c/
LU1875395870,Xtrackers Nikkei 225 UCITS ETF 2D EUR Hedged,Actions,"0,19",EUR,Distribution,https://etf.dws.com/fr-fr/LU1875395870-nikkei-225-ucits-etf-2d-eur-hedged/
LU0839027447,Xtrackers Nikkei 225 UCITS ETF 1D,Actions,"0,09",JPY,Distribution,https://etf.dws.com/fr-fr/LU0839027447-nikkei-225-ucits-etf-1d/
IE00BJZ2DD79,Xtrackers Russell 2000 UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BJZ2DD79-russell-2000-ucits-etf-1c/
LU0943504760,Xtrackers Switzerland UCITS ETF 1C,Actions,"0,30",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU0943504760-switzerland-ucits-etf-1c/
LU0274221281,Xtrackers Switzerland UCITS ETF 1D,Actions,"0,30",CHF,Distribution,https://etf.dws.com/fr-fr/LU0274221281-switzerland-ucits-etf-1d/
LU0846194776,Xtrackers MSCI EMU UCITS ETF 1D,Actions,"0,09",EUR,Distribution,https://etf.dws.com/fr-fr/LU0846194776-msci-emu-ucits-etf-1d/
LU1127516455,Xtrackers MSCI EMU UCITS ETF 2C GBP Hedged,Actions,"0,12",GBP,Capitalisation,https://etf.dws.com/fr-fr/LU1127516455-msci-emu-ucits-etf-2c-gbp-hedged/
LU1127514245,Xtrackers MSCI EMU UCITS ETF 1C USD Hedged,Actions,"0,17",USD,Capitalisation,https://etf.dws.com/fr-fr/LU1127514245-msci-emu-ucits-etf-1c-usd-hedged/
LU1920015366,Xtrackers MSCI EMU UCITS ETF 4C,Actions,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU1920015366-msci-emu-ucits-etf-4c/
LU1215828218,Xtrackers MSCI EMU UCITS ETF 3C CHF Hedged,Actions,"0,17",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU1215828218-msci-emu-ucits-etf-3c-chf-hedged/
LU0484968903,Xtrackers II EUR Corporate Bond SRI PAB UCITS ETF 1C,Obligations,"0,16",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0484968903-eur-corporate-bond-sri-pab-ucits-etf-1c/
LU0484968812,Xtrackers II EUR Corporate Bond SRI PAB UCITS ETF 1D,Obligations,"0,16",EUR,Distribution,https://etf.dws.com/fr-fr/LU0484968812-eur-corporate-bond-sri-pab-ucits-etf-1d/
LU1399300455,Xtrackers II US Treasuries UCITS ETF 2D EUR Hedged,Obligations,"0,10",EUR,Distribution,https://etf.dws.com/fr-fr/LU1399300455-us-treasuries-ucits-etf-2d-eur-hedged/
LU0429459356,Xtrackers II US Treasuries UCITS ETF 1D,Obligations,"0,06",USD,Distribution,https://etf.dws.com/fr-fr/LU0429459356-us-treasuries-ucits-etf-1d/
LU1920015796,Xtrackers II US Treasuries UCITS ETF 1C,Obligations,"0,06",USD,Capitalisation,https://etf.dws.com/fr-fr/LU1920015796-us-treasuries-ucits-etf-1c/
LU2610432036,Xtrackers II US Treasuries UCITS ETF 2C - GBP Hedged,Obligations,"0,10",GBP,Capitalisation,https://etf.dws.com/fr-fr/LU2610432036-us-treasuries-ucits-etf-2c-gbp-hedged/
DE000A1E0HR8,Xtrackers Physical Gold ETC (EUR),Métaux précieux,"0,25",EUR,--,https://etf.dws.com/fr-fr/etc/DE000A1E0HR8-xtrackers-physical-gold-etc-eur/
IE00BGQYRS42,Xtrackers MSCI USA Information Technology UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/IE00BGQYRS42-msci-usa-information-technology-ucits-etf-1d/
LU0378818131,Xtrackers II Global Government Bond UCITS ETF 1C EUR Hedged,Obligations,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0378818131-global-government-bond-ucits-etf-1c-eur-hedged/
LU0908508731,Xtrackers II Global Government Bond UCITS ETF 5C,Obligations,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0908508731-global-government-bond-ucits-etf-5c/
LU0641006456,Xtrackers II Global Government Bond UCITS ETF 3C USD Hedged,Obligations,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0641006456-global-government-bond-ucits-etf-3c-usd-hedged/
LU0641006290,Xtrackers II Global Government Bond UCITS ETF 2D GBP Hedged,Obligations,"0,25",GBP,Distribution,https://etf.dws.com/fr-fr/LU0641006290-global-government-bond-ucits-etf-2d-gbp-hedged/
LU0641006613,Xtrackers II Global Government Bond UCITS ETF 4C CHF Hedged,Obligations,"0,25",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU0641006613-global-government-bond-ucits-etf-4c-chf-hedged/
LU0690964092,Xtrackers II Global Government Bond UCITS ETF 1D EUR Hedged,Obligations,"0,25",EUR,Distribution,https://etf.dws.com/fr-fr/LU0690964092-global-government-bond-ucits-etf-1d-eur-hedged/
IE00BMFKG444,Xtrackers NASDAQ 100 UCITS ETF 1C,Actions,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BMFKG444-nasdaq-100-ucits-etf-1c/
LU2178481649,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF 1C,Obligations,"0,16",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU2178481649-eur-corporate-bond-short-duration-sri-pab-ucits-etf-1c/
IE00BL25JP72,Xtrackers MSCI World Momentum UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BL25JP72-msci-world-momentum-ucits-etf-1c/
LU2523865991,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 2C - USD Hedged,Obligations,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/LU2523865991-eurozone-government-bond-7-10-ucits-etf-2c-usd-hedged/
LU0290357259,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0290357259-eurozone-government-bond-7-10-ucits-etf-1c/
LU2523865728,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1D - GBP Hedged,Obligations,"0,20",GBP,Distribution,https://etf.dws.com/fr-fr/LU2523865728-eurozone-government-bond-7-10-ucits-etf-1d-gbp-hedged/
DE000A1EK0G3,Xtrackers Physical Gold EUR Hedged ETC,Métaux précieux,"0,59",EUR,--,https://etf.dws.com/fr-fr/etc/DE000A1EK0G3-xtrackers-physical-gold-eur-hedged-etc/
LU0514695690,Xtrackers MSCI China UCITS ETF 1C,Actions,"0,65",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0514695690-msci-china-ucits-etf-1c/
LU2456436083,Xtrackers MSCI China UCITS ETF 1D,Actions,"0,28",USD,Distribution,https://etf.dws.com/fr-fr/LU2456436083-msci-china-ucits-etf-1d/
LU0779800910,Xtrackers CSI300 Swap UCITS ETF 1C,Actions,"0,50",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0779800910-csi300-swap-ucits-etf-1c/
IE00BM67HM91,Xtrackers MSCI World Energy UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HM91-msci-world-energy-ucits-etf-1c/
LU0524480265,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0524480265-iboxx-eurozone-government-bond-yield-plus-ucits-etf-1c/
LU0962071741,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1D,Obligations,"0,15",EUR,Distribution,https://etf.dws.com/fr-fr/LU0962071741-iboxx-eurozone-government-bond-yield-plus-ucits-etf-1d/
IE00BJZ2DC62,Xtrackers MSCI USA Screened UCITS ETF 1C,Actions,"0,07",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BJZ2DC62-msci-usa-screened-ucits-etf-1c/
IE000TSML5I8,Xtrackers MSCI USA Screened UCITS ETF 2C EUR Hedged,Actions,"0,12",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000TSML5I8-msci-usa-screened-ucits-etf-2c-eur-hedged/
IE00BG370F43,Xtrackers MSCI Emerging Markets ESG UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BG370F43-msci-emerging-markets-esg-ucits-etf-1c/
LU0322252338,Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0322252338-msci-pacific-ex-japan-ucits-etf-1c/
IE00BM67HL84,Xtrackers MSCI World Financials UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HL84-msci-world-financials-ucits-etf-1c/
LU0476289540,Xtrackers MSCI Canada Screened UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0476289540-msci-canada-screened-ucits-etf-1c/
IE00BM67HV82,Xtrackers MSCI World Industrials UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BM67HV82-msci-world-industrials-ucits-etf-1c/
IE00BZ036H21,Xtrackers USD Corporate Bond UCITS ETF 1D,Obligations,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/IE00BZ036H21-usd-corporate-bond-ucits-etf-1d/
IE00BG04LY46,Xtrackers USD Corporate Bond UCITS ETF 5D - GBP Hedged,Obligations,"0,21",GBP,Distribution,https://etf.dws.com/fr-fr/IE00BG04LY46-usd-corporate-bond-ucits-etf-5d-gbp-hedged/
IE00BZ036J45,Xtrackers USD Corporate Bond UCITS ETF 2D EUR Hedged,Obligations,"0,21",EUR,Distribution,https://etf.dws.com/fr-fr/IE00BZ036J45-usd-corporate-bond-ucits-etf-2d-eur-hedged/
IE00BMCFJ320,Xtrackers USD Corporate Bond UCITS ETF 6C MXN Hedged,Obligations,"0,21",MXN,Capitalisation,https://etf.dws.com/fr-fr/IE00BMCFJ320-usd-corporate-bond-ucits-etf-6c-mxn-hedged/
IE00BFMKQC67,Xtrackers USD Corporate Bond UCITS ETF 1C,Obligations,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BFMKQC67-usd-corporate-bond-ucits-etf-1c/
IE00BFMNHK08,Xtrackers MSCI Europe ESG UCITS ETF 1C,Actions,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BFMNHK08-msci-europe-esg-ucits-etf-1c/
IE0004ZJGWT9,Xtrackers MSCI Europe ESG UCITS ETF 1D,Actions,"0,18",EUR,Distribution,https://etf.dws.com/fr-fr/IE0004ZJGWT9-msci-europe-esg-ucits-etf-1d/
IE00BL25JN58,Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BL25JN58-msci-world-minimum-volatility-ucits-etf-1c/
IE00B9MRHC27,Xtrackers MSCI Nordic UCITS ETF 1D,Actions,"0,30",EUR,Distribution,https://etf.dws.com/fr-fr/IE00B9MRHC27-msci-nordic-ucits-etf-1d/
IE000BO2Y0T8,Xtrackers MSCI Nordic UCITS ETF 1C,Actions,"0,30",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000BO2Y0T8-msci-nordic-ucits-etf-1c/
DE000A2T5DZ1,Xtrackers IE Physical Gold EUR Hedged ETC Securities,Métaux précieux,"0,24",EUR,--,https://etf.dws.com/fr-fr/etc/DE000A2T5DZ1-xtrackers-ie-physical-gold-eur-hedged-etc-securities/
LU0292107645,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,Actions,"0,49",USD,Capitalisation,https://etf.dws.com/fr-fr/LU0292107645-msci-emerging-markets-swap-ucits-etf-1c/
LU2675291913,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1D,Actions,"0,18",USD,Distribution,https://etf.dws.com/fr-fr/LU2675291913-msci-emerging-markets-swap-ucits-etf-1d/
LU0292096186,Xtrackers Stoxx Global Select Dividend 100 Swap UCITS ETF 1D,Actions,"0,50",EUR,Distribution,https://etf.dws.com/fr-fr/LU0292096186-stoxx-global-select-dividend-100-swap-ucits-etf-1d/
LU0468896575,Xtrackers II Germany Government Bond UCITS ETF 1D,Obligations,"0,15",EUR,Distribution,https://etf.dws.com/fr-fr/LU0468896575-germany-government-bond-ucits-etf-1d/
LU0643975161,Xtrackers II Germany Government Bond UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0643975161-germany-government-bond-ucits-etf-1c/
LU2523866296,Xtrackers II Germany Government Bond UCITS ETF 2D - GBP Hedged,Obligations,"0,20",GBP,Distribution,https://etf.dws.com/fr-fr/LU2523866296-germany-government-bond-ucits-etf-2d-gbp-hedged/
LU2523866379,Xtrackers II Germany Government Bond UCITS ETF 2C - USD Hedged,Obligations,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/LU2523866379-germany-government-bond-ucits-etf-2c-usd-hedged/
